Index,MakerNo,MakerName,MakerSortNo,ModelNo,ModelName,ModelSortNo,MDetailNo,MDetailName,MDetailSortNo,ST_YEAR,ED_YEAR,GradeNo,GradeName,GradeSortNo,GdetailNo,GdetailName,GDetailSortNo
0,10055,현대,1,100217,그랜저,1.0,1002946,그랜저 (GN7),1.0,2022.0,,10014870,가솔린 2.5 2WD,1.0,100014322.0,프리미엄,1.0
1,10055,현대,1,100217,그랜저,1.0,1002946,그랜저 (GN7),1.0,2022.0,,10014870,가솔린 2.5 2WD,1.0,100014323.0,익스클루시브,2.0
2,10055,현대,1,100217,그랜저,1.0,1002946,그랜저 (GN7),1.0,2022.0,,10014870,가솔린 2.5 2WD,1.0,100014324.0,캘리그래피,3.0
3,10055,현대,1,100217,그랜저,1.0,1002946,그랜저 (GN7),1.0,2022.0,,10014871,가솔린 3.5 2WD,2.0,100014325.0,프리미엄,1.0
4,10055,현대,1,100217,그랜저,1.0,1002946,그랜저 (GN7),1.0,2022.0,,10014871,가솔린 3.5 2WD,2.0,100014326.0,익스클루시브,2.0
5,10055,현대,1,100217,그랜저,1.0,1002946,그랜저 (GN7),1.0,2022.0,,10014871,가솔린 3.5 2WD,2.0,100014327.0,캘리그래피,3.0
6,10055,현대,1,100217,그랜저,1.0,1002946,그랜저 (GN7),1.0,2022.0,,10014873,가솔린 3.5 4WD,3.0,100014328.0,프리미엄,1.0
7,10055,현대,1,100217,그랜저,1.0,1002946,그랜저 (GN7),1.0,2022.0,,10014873,가솔린 3.5 4WD,3.0,100014329.0,익스클루시브,2.0
8,10055,현대,1,100217,그랜저,1.0,1002946,그랜저 (GN7),1.0,2022.0,,10014873,가솔린 3.5 4WD,3.0,100014330.0,캘리그래피,3.0
9,10055,현대,1,100217,그랜저,1.0,1002946,그랜저 (GN7),1.0,2022.0,,10014874,LPG 3.5 2WD,4.0,100014331.0,프리미엄,1.0
10,10055,현대,1,100217,그랜저,1.0,1002946,그랜저 (GN7),1.0,2022.0,,10014874,LPG 3.5 2WD,4.0,100014332.0,익스클루시브,2.0
11,10055,현대,1,100217,그랜저,1.0,1002946,그랜저 (GN7),1.0,2022.0,,10015250,LPG 3.5 2WD(장애인용),5.0,100014517.0,프리미엄 플러스,1.0
12,10055,현대,1,100217,그랜저,1.0,1002946,그랜저 (GN7),1.0,2022.0,,10015250,LPG 3.5 2WD(장애인용),5.0,100014518.0,익스클루시브 플러스,2.0
13,10055,현대,1,100217,그랜저,1.0,1002946,그랜저 (GN7),1.0,2022.0,,10015251,LPG 3.5 2WD (택시형),6.0,100014519.0,고급형,1.0
14,10055,현대,1,100217,그랜저,1.0,1002947,그랜저 하이브리드 (GN7),2.0,2022.0,,10014876,프리미엄,1.0,,,
15,10055,현대,1,100217,그랜저,1.0,1002947,그랜저 하이브리드 (GN7),2.0,2022.0,,10014877,익스클루시브,2.0,,,
